medal date,medal type,medal code, Player name,gender,country
27-07-24,Gold Medal,1,EVENEPOEL Remco,Male,Belgium
27-07-24,Silver Medal,2,GANNA Filippo,Male,Italy
27-07-24,Bronze Medal,3,van AERT Wout,Male,Belgium
27-07-24,Gold Medal,1,BROWN Grace,Female,Australia
27-07-24,Silver Medal,2,HENDERSON Anna,Female,Great Britain
27-07-24,Bronze Medal,3,DYGERT Chloe,Female,United States
27-07-24,Gold Medal,1,OH Sanguk,Male,Korea
27-07-24,Silver Medal,2,FERJANI Fares,Male,Tunisia
27-07-24,Bronze Medal,3,SAMELE Luigi,Male,Italy
27-07-24,Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China"
27-07-24,Silver Medal,2,MALLO-BRETON Auriane,Female,France
27-07-24,Bronze Medal,3,MUHARI Eszter,Female,Hungary
27-07-24,Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan
27-07-24,Silver Medal,2,MKHEIDZE Luka,Male,France
27-07-24,Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan
27-07-24,Bronze Medal,3,GARRIGOS Francisco,Male,Spain
27-07-24,Gold Medal,1,TSUNODA Natsumi,Female,Japan
27-07-24,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia
27-07-24,Bronze Medal,3,BOUKLI Shirine,Female,France
27-07-24,Bronze Medal,3,BABULFATH Tara,Female,Sweden
27-07-24,Gold Medal,1,MAERTENS Lukas,Male,Germany
27-07-24,Silver Medal,2,WINNINGTON Elijah,Male,Australia
27-07-24,Bronze Medal,3,KIM Woomin,Male,Korea
27-07-24,Gold Medal,1,TITMUS Ariarne,Female,Australia
27-07-24,Silver Medal,2,McINTOSH Summer,Female,Canada
27-07-24,Bronze Medal,3,LEDECKY Katie,Female,United States
28-07-24,Gold Medal,1,FOX Jessica,Female,Australia
28-07-24,Silver Medal,2,ZWOLINSKA Klaudia,Female,Poland
28-07-24,Bronze Medal,3,WOODS Kimberley,Female,Great Britain
28-07-24,Gold Medal,1,FERRAND PREVOT Pauline,Female,France
28-07-24,Silver Medal,2,BATTEN Haley,Female,United States
28-07-24,Bronze Medal,3,RISSVEDS Jenny,Female,Sweden
28-07-24,Gold Medal,1,KANO Koki,Male,Japan
28-07-24,Silver Medal,2,BOREL Yannick,Male,France
28-07-24,Bronze Medal,3,ELSAYED Mohamed,Male,Egypt
28-07-24,Gold Medal,1,KIEFER Lee,Female,United States
28-07-24,Silver Medal,2,SCRUGGS Lauren,Female,United States
28-07-24,Bronze Medal,3,HARVEY Eleanor,Female,Canada
28-07-24,Gold Medal,1,ABE Hifumi,Male,Japan
28-07-24,Silver Medal,2,LIMA Willian,Male,Brazil
28-07-24,Bronze Medal,3,KYRGYZBAYEV Gusman,Male,Kazakhstan
28-07-24,Bronze Medal,3,VIERU Denis,Male,Republic of Moldova
28-07-24,Gold Medal,1,KELDIYOROVA Diyora,Female,Uzbekistan
28-07-24,Silver Medal,2,KRASNIQI Distria,Female,Kosovo
28-07-24,Bronze Medal,3,PIMENTA Larissa,Female,Brazil
28-07-24,Bronze Medal,3,BUCHARD Amandine,Female,France
28-07-24,Gold Medal,1,XIE Yu,Male,China
28-07-24,Silver Medal,2,MALDINI Federico Nilo,Male,Italy
28-07-24,Bronze Medal,3,MONNA Paolo,Male,Italy
28-07-24,Gold Medal,1,OH Ye Jin,Female,Korea
28-07-24,Silver Medal,2,KIM Yeji,Female,Korea
28-07-24,Bronze Medal,3,BHAKER Manu,Female,India
28-07-24,Gold Medal,1,YOSHIZAWA Coco,Female,Japan
28-07-24,Silver Medal,2,AKAMA Liz,Female,Japan
28-07-24,Bronze Medal,3,LEAL Rayssa,Female,Brazil
28-07-24,Gold Medal,1,MARTINENGHI Nicolo,Male,Italy
28-07-24,Silver Medal,2,PEATY Adam,Male,Great Britain
28-07-24,Silver Medal,2,FINK Nic,Male,United States
28-07-24,Gold Medal,1,MARCHAND Leon,Male,France
28-07-24,Silver Medal,2,MATSUSHITA Tomoyuki,Male,Japan
28-07-24,Bronze Medal,3,FOSTER Carson,Male,United States
28-07-24,Gold Medal,1,HUSKE Torri,Female,United States
28-07-24,Silver Medal,2,WALSH Gretchen,Female,United States
28-07-24,Bronze Medal,3,ZHANG Yufei,Female,China
29-07-24,Gold Medal,1,GESTIN Nicolas,Male,France
29-07-24,Silver Medal,2,BURGESS Adam,Male,Great Britain
29-07-24,Bronze Medal,3,BENUS Matej,Male,Slovakia
29-07-24,Gold Medal,1,PIDCOCK Thomas,Male,Great Britain
29-07-24,Silver Medal,2,KORETZKY Victor,Male,France
29-07-24,Bronze Medal,3,HATHERLY Alan,Male,South Africa
29-07-24,Gold Medal,1,JUNG Michael,Male,Germany
29-07-24,Silver Medal,2,BURTON Christopher,Male,Australia
29-07-24,Bronze Medal,3,COLLETT Laura,Female,Great Britain
29-07-24,Gold Medal,1,CHEUNG Ka Long,Male,"Hong Kong, China"
29-07-24,Silver Medal,2,MACCHI Filippo,Male,Italy
29-07-24,Bronze Medal,3,ITKIN Nick,Male,United States
29-07-24,Gold Medal,1,APITHY-BRUNET Manon,Female,France
29-07-24,Silver Medal,2,BALZER Sara,Female,France
29-07-24,Bronze Medal,3,KHARLAN Olga,Female,Ukraine
29-07-24,Gold Medal,1,HEYDAROV Hidayat,Male,Azerbaijan
29-07-24,Silver Medal,2,GABA Joan-Benjamin,Male,France
29-07-24,Bronze Medal,3,OSMANOV Adil,Male,Republic of Moldova
29-07-24,Bronze Medal,3,HASHIMOTO Soichi,Male,Japan
29-07-24,Gold Medal,1,DEGUCHI Christa,Female,Canada
29-07-24,Silver Medal,2,HUH Mimi,Female,Korea
29-07-24,Bronze Medal,3,FUNAKUBO Haruka,Female,Japan
29-07-24,Bronze Medal,3,CYSIQUE Sarah Leonie,Female,France
29-07-24,Gold Medal,1,SHENG Lihao,Male,China
29-07-24,Silver Medal,2,LINDGREN Victor,Male,Sweden
29-07-24,Bronze Medal,3,MARICIC Miran,Male,Croatia
29-07-24,Gold Medal,1,BAN Hyojin,Female,Korea
29-07-24,Silver Medal,2,HUANG Yuting,Female,China
29-07-24,Bronze Medal,3,GOGNIAT Audrey,Female,Switzerland
29-07-24,Gold Medal,1,HORIGOME Yuto,Male,Japan
29-07-24,Silver Medal,2,EATON Jagger,Male,United States
29-07-24,Bronze Medal,3,HUSTON Nyjah,Male,United States
29-07-24,Gold Medal,1,CECCON Thomas,Male,Italy
29-07-24,Silver Medal,2,XU Jiayu,Male,China
29-07-24,Bronze Medal,3,MURPHY Ryan,Male,United States
29-07-24,Gold Medal,1,POPOVICI David,Male,Romania
29-07-24,Silver Medal,2,RICHARDS Matthew,Male,Great Britain
29-07-24,Bronze Medal,3,HOBSON Luke,Male,United States
29-07-24,Gold Medal,1,SMITH Tatjana,Female,South Africa
29-07-24,Silver Medal,2,TANG Qianting,Female,China
29-07-24,Bronze Medal,3,Mc SHARRY Mona,Female,Ireland
29-07-24,Gold Medal,1,O'CALLAGHAN Mollie,Female,Australia
29-07-24,Silver Medal,2,TITMUS Ariarne,Female,Australia
29-07-24,Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China"
29-07-24,Gold Medal,1,McINTOSH Summer,Female,Canada
29-07-24,Silver Medal,2,GRIMES Katie,Female,United States
29-07-24,Bronze Medal,3,WEYANT Emma,Female,United States
30-07-24,Gold Medal,1,NAGASE Takanori,Male,Japan
30-07-24,Silver Medal,2,GRIGALASHVILI Tato,Male,Georgia
30-07-24,Bronze Medal,3,LEE Joonhwan,Male,Korea
30-07-24,Bronze Medal,3,MAKHMADBEKOV Somon,Male,Tajikistan
30-07-24,Gold Medal,1,LESKI Andreja,Female,Slovenia
30-07-24,Silver Medal,2,AWITI ALCARAZ Prisca,Female,Mexico
30-07-24,Bronze Medal,3,AGBEGNENOU Clarisse,Female,France
30-07-24,Bronze Medal,3,FAZLIU Laura,Female,Kosovo
30-07-24,Gold Medal,1,HALES Nathan,Male,Great Britain
30-07-24,Silver Medal,2,QI Ying,Male,China
30-07-24,Bronze Medal,3,BROL CARDENAS Jean Pierre,Male,Guatemala
30-07-24,Gold Medal,1,WIFFEN Daniel,Male,Ireland
30-07-24,Silver Medal,2,FINKE Bobby,Male,United States
30-07-24,Bronze Medal,3,PALTRINIERI Gregorio,Male,Italy
30-07-24,Gold Medal,1,McKEOWN Kaylee,Female,Australia
30-07-24,Silver Medal,2,SMITH Regan,Female,United States
30-07-24,Bronze Medal,3,BERKOFF Katharine,Female,United States
31-07-24,Gold Medal,1,OKA Shinnosuke,Male,Japan
31-07-24,Silver Medal,2,ZHANG Boheng,Male,China
31-07-24,Bronze Medal,3,XIAO Ruoteng,Male,China
31-07-24,Gold Medal,1,FOX Jessica,Female,Australia
31-07-24,Silver Medal,2,LILIK Elena,Female,Germany
31-07-24,Bronze Medal,3,LEIBFARTH Evy,Female,United States
31-07-24,Gold Medal,1,TORRES GIL Jose,Male,Argentina
31-07-24,Silver Medal,2,REILLY Kieran Darren David,Male,Great Britain
31-07-24,Bronze Medal,3,JEANJEAN Anthony,Male,France
31-07-24,Gold Medal,1,DENG Yawen,Female,China
31-07-24,Silver Medal,2,BENEGAS Perris,Female,United States
31-07-24,Bronze Medal,3,DIEHM Natalya,Female,Australia
31-07-24,Gold Medal,1,BEKAURI Lasha,Male,Georgia
31-07-24,Silver Medal,2,MURAO Sanshiro,Male,Japan
31-07-24,Bronze Medal,3,NGAYAP HAMBOU Maxime-Gael,Male,France
31-07-24,Bronze Medal,3,TSELIDIS Theodoros,Male,Greece
31-07-24,Gold Medal,1,MATIC Barbara,Female,Croatia
31-07-24,Silver Medal,2,BUTKEREIT Miriam,Female,Germany
31-07-24,Bronze Medal,3,POLLERES Michaela,Female,Austria
31-07-24,Bronze Medal,3,WILLEMS Gabriella,Female,Belgium
31-07-24,Gold Medal,1,RUANO OLIVA Adriana,Female,Guatemala
31-07-24,Silver Medal,2,STANCO Silvana Maria,Female,Italy
31-07-24,Bronze Medal,3,SMITH Penny,Female,Australia
31-07-24,Gold Medal,1,PAN Zhanle,Male,China
31-07-24,Silver Medal,2,CHALMERS Kyle,Male,Australia
31-07-24,Bronze Medal,3,POPOVICI David,Male,Romania
31-07-24,Gold Medal,1,MARCHAND Leon,Male,France
31-07-24,Silver Medal,2,STUBBLETY-COOK Zac,Male,Australia
31-07-24,Bronze Medal,3,CORBEAU Caspar,Male,Netherlands
31-07-24,Gold Medal,1,MARCHAND Leon,Male,France
31-07-24,Silver Medal,2,MILAK Kristof,Male,Hungary
31-07-24,Bronze Medal,3,KHARUN Ilya,Male,Canada
31-07-24,Gold Medal,1,SJOESTROEM Sarah,Female,Sweden
31-07-24,Silver Medal,2,HUSKE Torri,Female,United States
31-07-24,Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China"
31-07-24,Gold Medal,1,LEDECKY Katie,Female,United States
31-07-24,Silver Medal,2,KIRPICHNIKOVA Anastasiia,Female,France
31-07-24,Bronze Medal,3,GOSE Isabel,Female,Germany
31-07-24,Gold Medal,1,YEE Alex,Male,Great Britain
31-07-24,Silver Medal,2,WILDE Hayden,Male,New Zealand
31-07-24,Bronze Medal,3,BERGERE Leo,Male,France
31-07-24,Gold Medal,1,BEAUGRAND Cassandre,Female,France
31-07-24,Silver Medal,2,DERRON Julie,Female,Switzerland
31-07-24,Bronze Medal,3,POTTER Beth,Female,Great Britain
01-08-24,Gold Medal,1,BILES Simone,Female,United States
01-08-24,Silver Medal,2,ANDRADE Rebeca,Female,Brazil
01-08-24,Bronze Medal,3,LEE Sunisa,Female,United States
01-08-24,Gold Medal,1,PINTADO Brian Daniel,Male,Ecuador
01-08-24,Silver Medal,2,BONFIM Caio,Male,Brazil
01-08-24,Bronze Medal,3,MARTIN Alvaro,Male,Spain
01-08-24,Gold Medal,1,YANG Jiayu,Female,China
01-08-24,Silver Medal,2,PEREZ Maria,Female,Spain
01-08-24,Bronze Medal,3,MONTAG Jemima,Female,Australia
01-08-24,Gold Medal,1,de GENNARO Giovanni,Male,Italy
01-08-24,Silver Medal,2,CASTRYCK Titouan,Male,France
01-08-24,Bronze Medal,3,ECHANIZ Pau,Male,Spain
01-08-24,Gold Medal,1,KOTSOIEV Zelym,Male,Azerbaijan
01-08-24,Silver Medal,2,SULAMANIDZE Ilia,Male,Georgia
01-08-24,Bronze Medal,3,PALTCHIK Peter,Male,Israel
01-08-24,Bronze Medal,3,TUROBOYEV Muzaffarbek,Male,Uzbekistan
01-08-24,Gold Medal,1,BELLANDI Alice,Female,Italy
01-08-24,Silver Medal,2,LANIR Inbar,Female,Israel
01-08-24,Bronze Medal,3,MA Zhenzhao,Female,China
01-08-24,Bronze Medal,3,SAMPAIO Patricia,Female,Portugal
01-08-24,Gold Medal,1,LIU Yukun,Male,China
01-08-24,Silver Medal,2,KULISH Serhiy,Male,Ukraine
01-08-24,Bronze Medal,3,KUSALE Swapnil,Male,India
01-08-24,Gold Medal,1,KOS Hubert,Male,Hungary
01-08-24,Silver Medal,2,CHRISTOU Apostolos,Male,Greece
01-08-24,Bronze Medal,3,MITYUKOV Roman,Male,Switzerland
01-08-24,Gold Medal,1,DOUGLASS Kate,Female,United States
01-08-24,Silver Medal,2,SMITH Tatjana,Female,South Africa
01-08-24,Bronze Medal,3,SCHOUTEN Tes,Female,Netherlands
01-08-24,Gold Medal,1,McINTOSH Summer,Female,Canada
01-08-24,Silver Medal,2,SMITH Regan,Female,United States
01-08-24,Bronze Medal,3,ZHANG Yufei,Female,China
02-08-24,Gold Medal,1,CHEPTEGEI Joshua,Male,Uganda
02-08-24,Silver Medal,2,AREGAWI Berihu,Male,Ethiopia
02-08-24,Bronze Medal,3,FISHER Grant,Male,United States
02-08-24,Gold Medal,1,DAUDET Joris,Male,France
02-08-24,Silver Medal,2,ANDRE Sylvain,Male,France
02-08-24,Bronze Medal,3,MAHIEU Romain,Male,France
02-08-24,Gold Medal,1,SAKAKIBARA Saya,Female,Australia
02-08-24,Silver Medal,2,VEENSTRA Manon,Female,Netherlands
02-08-24,Bronze Medal,3,CLAESSENS Zoe,Female,Switzerland
02-08-24,Gold Medal,1,RINER Teddy,Male,France
02-08-24,Silver Medal,2,KIM Minjong,Male,Korea
02-08-24,Bronze Medal,3,RAKHIMOV Temur,Male,Tajikistan
02-08-24,Bronze Medal,3,YUSUPOV Alisher,Male,Uzbekistan
02-08-24,Gold Medal,1,SOUZA Beatriz,Female,Brazil
02-08-24,Silver Medal,2,HERSHKO Raz,Female,Israel
02-08-24,Bronze Medal,3,KIM Hayun,Female,Korea
02-08-24,Bronze Medal,3,DICKO Romane,Female,France
02-08-24,Gold Medal,1,LEONE Chiara,Female,Switzerland
02-08-24,Silver Medal,2,MADDALENA Sagen,Female,United States
02-08-24,Bronze Medal,3,ZHANG Qiongyue,Female,China
02-08-24,Gold Medal,1,MARCHAND Leon,Male,France
02-08-24,Silver Medal,2,SCOTT Duncan,Male,Great Britain
02-08-24,Bronze Medal,3,WANG Shun,Male,China
02-08-24,Gold Medal,1,McEVOY Cameron,Male,Australia
02-08-24,Silver Medal,2,PROUD Benjamin,Male,Great Britain
02-08-24,Bronze Medal,3,MANAUDOU Florent,Male,France
02-08-24,Gold Medal,1,McKEOWN Kaylee,Female,Australia
02-08-24,Silver Medal,2,SMITH Regan,Female,United States
02-08-24,Bronze Medal,3,MASSE Kylie,Female,Canada
02-08-24,Bronze Medal,3,SWIATEK Iga,Female,Poland
02-08-24,Gold Medal,1,LITVINOVICH Ivan,Male,AIN
02-08-24,Silver Medal,2,WANG Zisai,Male,China
02-08-24,Bronze Medal,3,YAN Langyu,Male,China
02-08-24,Gold Medal,1,PAGE Bryony,Female,Great Britain
02-08-24,Silver Medal,2,BARDZILOUSKAYA Viyaleta,Female,AIN
02-08-24,Bronze Medal,3,METHOT Sophiane,Female,Canada
03-08-24,Gold Medal,1,LIM Sihyeon,Female,Korea
03-08-24,Silver Medal,2,NAM Suhyeon,Female,Korea
03-08-24,Bronze Medal,3,BARBELIN Lisa,Female,France
03-08-24,Gold Medal,1,YULO Carlos Edriel,Male,Philippines
03-08-24,Silver Medal,2,DOLGOPYAT Artem,Male,Israel
03-08-24,Bronze Medal,3,JARMAN Jake,Male,Great Britain
03-08-24,Gold Medal,1,Mc CLENAGHAN Rhys,Male,Ireland
03-08-24,Silver Medal,2,KURBANOV Nariman,Male,Kazakhstan
03-08-24,Bronze Medal,3,NEDOROSCIK Stephen,Male,United States
03-08-24,Gold Medal,1,BILES Simone,Female,United States
03-08-24,Silver Medal,2,ANDRADE Rebeca,Female,Brazil
03-08-24,Bronze Medal,3,CAREY Jade,Female,United States
03-08-24,Gold Medal,1,ROOTH Markus,Male,Norway
03-08-24,Silver Medal,2,NEUGEBAUER Leo,Male,Germany
03-08-24,Bronze Medal,3,VICTOR Lindon,Male,Grenada
03-08-24,Gold Medal,1,CROUSER Ryan,Male,United States
03-08-24,Silver Medal,2,KOVACS Joe,Male,United States
03-08-24,Bronze Medal,3,CAMPBELL Rajindra,Male,Jamaica
03-08-24,Gold Medal,1,ALFRED Julien,Female,Saint Lucia
03-08-24,Silver Medal,2,RICHARDSON Sha'carri,Female,United States
03-08-24,Bronze Medal,3,JEFFERSON Melissa,Female,United States
03-08-24,Gold Medal,1,LAFOND Thea,Female,Dominica
03-08-24,Silver Medal,2,RICKETTS Shanieka,Female,Jamaica
03-08-24,Bronze Medal,3,MOORE Jasmine,Female,United States
03-08-24,Bronze Medal,3,WU Shih Yi,Female,Chinese Taipei
03-08-24,Bronze Medal,3,SOARES FERREIRA Beatriz Iasmin,Female,Brazil
03-08-24,Gold Medal,1,EVENEPOEL Remco,Male,Belgium
03-08-24,Silver Medal,2,MADOUAS Valentin,Male,France
03-08-24,Bronze Medal,3,LAPORTE Christophe,Male,France
03-08-24,Gold Medal,1,ZEIDLER Oliver,Male,Germany
03-08-24,Silver Medal,2,ZALATY Yauheni,Male,AIN
03-08-24,Bronze Medal,3,van DORP Simon,Male,Netherlands
03-08-24,Gold Medal,1,FLORIJN Karolien,Female,Netherlands
03-08-24,Silver Medal,2,TWIGG Emma,Female,New Zealand
03-08-24,Bronze Medal,3,SENKUTE Viktorija,Female,Lithuania
03-08-24,Gold Medal,1,REUVENY Tom,Male,Israel
03-08-24,Silver Medal,2,MORRIS Grae,Male,Australia
03-08-24,Bronze Medal,3,van OPZEELAND Luuc,Male,Netherlands
03-08-24,Gold Medal,1,MAGGETTI Marta,Female,Italy
03-08-24,Silver Medal,2,KANTOR Sharon,Female,Israel
03-08-24,Bronze Medal,3,WILSON Emma,Female,Great Britain
03-08-24,Gold Medal,1,YANG Jiin,Female,Korea
03-08-24,Silver Medal,2,JEDRZEJEWSKI Camille,Female,France
03-08-24,Bronze Medal,3,MAJOR Veronika,Female,Hungary
03-08-24,Gold Medal,1,HANCOCK Vincent,Male,United States
03-08-24,Silver Medal,2,PRINCE Conner Lynn,Male,United States
03-08-24,Bronze Medal,3,LEE Meng Yuan,Male,Chinese Taipei
03-08-24,Gold Medal,1,MILAK Kristof,Male,Hungary
03-08-24,Silver Medal,2,LIENDO Josh,Male,Canada
03-08-24,Bronze Medal,3,KHARUN Ilya,Male,Canada
03-08-24,Gold Medal,1,McINTOSH Summer,Female,Canada
03-08-24,Silver Medal,2,DOUGLASS Kate,Female,United States
03-08-24,Bronze Medal,3,McKEOWN Kaylee,Female,Australia
03-08-24,Gold Medal,1,LEDECKY Katie,Female,United States
03-08-24,Silver Medal,2,TITMUS Ariarne,Female,Australia
03-08-24,Bronze Medal,3,MADDEN Paige,Female,United States
03-08-24,Gold Medal,1,CHEN Meng,Female,China
03-08-24,Silver Medal,2,SUN Yingsha,Female,China
03-08-24,Bronze Medal,3,HAYATA Hina,Female,Japan
03-08-24,Bronze Medal,3,MUSETTI Lorenzo,Male,Italy
03-08-24,Gold Medal,1,ZHENG Qinwen,Female,China
03-08-24,Silver Medal,2,VEKIC Donna,Female,Croatia
04-08-24,Gold Medal,1,KIM Woojin,Male,Korea
04-08-24,Silver Medal,2,ELLISON Brady,Male,United States
04-08-24,Bronze Medal,3,LEE Wooseok,Male,Korea
04-08-24,Gold Medal,1,LIU Yang,Male,China
04-08-24,Silver Medal,2,ZOU Jingyuan,Male,China
04-08-24,Bronze Medal,3,PETROUNIAS Eleftherios,Male,Greece
04-08-24,Gold Medal,1,YULO Carlos Edriel,Male,Philippines
04-08-24,Silver Medal,2,DAVTYAN Artur,Male,Armenia
04-08-24,Bronze Medal,3,HEPWORTH Harry,Male,Great Britain
04-08-24,Gold Medal,1,NEMOUR Kaylia,Female,Algeria
04-08-24,Silver Medal,2,QIU Qiyuan,Female,China
04-08-24,Bronze Medal,3,LEE Sunisa,Female,United States
04-08-24,Gold Medal,1,LYLES Noah,Male,United States
04-08-24,Silver Medal,2,THOMPSON Kishane,Male,Jamaica
04-08-24,Bronze Medal,3,KERLEY Fred,Male,United States
04-08-24,Gold Medal,1,KATZBERG Ethan,Male,Canada
04-08-24,Silver Medal,2,HALASZ Bence,Male,Hungary
04-08-24,Bronze Medal,3,KOKHAN Mykhaylo,Male,Ukraine
04-08-24,Gold Medal,1,MAHUCHIKH Yaroslava,Female,Ukraine
04-08-24,Silver Medal,2,OLYSLAGERS Nicola,Female,Australia
04-08-24,Bronze Medal,3,GERASHCHENKO Iryna,Female,Ukraine
04-08-24,Bronze Medal,3,PATTERSON Eleanor,Female,Australia
04-08-24,Bronze Medal,,TUNJUNG Gregoria Mariska,Female,Indonesia
04-08-24,Bronze Medal,3,ALCANTARA REYES Yunior,Male,Dominican Republic
04-08-24,Bronze Medal,3,de PINA David,Male,Cabo Verde
04-08-24,Bronze Medal,3,SANFORD Wyatt,Male,Canada
04-08-24,Bronze Medal,3,GURULI Lasha,Male,Georgia
04-08-24,Bronze Medal,3,PINALES Cristian Javier,Male,Dominican Republic
04-08-24,Bronze Medal,3,LOPEZ CARDONA Arlen,Male,Cuba
04-08-24,Bronze Medal,3,REYES PLA Enmanuel,Male,Spain
04-08-24,Bronze Medal,3,BOLTAEV Davlat,Male,Tajikistan
04-08-24,Bronze Medal,3,PANG Cholmi,Female,DPR Korea
04-08-24,Bronze Medal,3,IM Aeji,Female,Korea
04-08-24,Gold Medal,1,FAULKNER Kristen,Female,United States
04-08-24,Silver Medal,2,VOS Marianne,Female,Netherlands
04-08-24,Bronze Medal,3,KOPECKY Lotte,Female,Belgium
04-08-24,Gold Medal,1,von BREDOW-WERNDL Jessica,Female,Germany
04-08-24,Silver Medal,2,WERTH Isabell,Female,Germany
04-08-24,Bronze Medal,3,FRY Charlotte,Female,Great Britain
04-08-24,Gold Medal,1,SCHEFFLER Scottie,Male,United States
04-08-24,Silver Medal,2,FLEETWOOD Tommy,Male,Great Britain
04-08-24,Bronze Medal,3,MATSUYAMA Hideki,Male,Japan
04-08-24,Gold Medal,1,CROVETTO CHADID Francisca,Female,Chile
04-08-24,Silver Medal,2,RUTTER Amber Jo,Female,Great Britain
04-08-24,Bronze Medal,3,SMITH Austen Jewell,Female,United States
04-08-24,Gold Medal,1,FINKE Bobby,Male,United States
04-08-24,Silver Medal,2,PALTRINIERI Gregorio,Male,Italy
04-08-24,Bronze Medal,3,WIFFEN Daniel,Male,Ireland
04-08-24,Gold Medal,1,SJOESTROEM Sarah,Female,Sweden
04-08-24,Silver Medal,2,HARRIS Meg,Female,Australia
04-08-24,Bronze Medal,3,ZHANG Yufei,Female,China
04-08-24,Gold Medal,1,FAN Zhendong,Male,China
04-08-24,Silver Medal,2,MOREGARD Truls,Male,Sweden
04-08-24,Bronze Medal,3,LEBRUN Felix,Male,France
04-08-24,Gold Medal,1,DJOKOVIC Novak,Male,Serbia
04-08-24,Silver Medal,2,ALCARAZ Carlos,Male,Spain
05-08-24,Gold Medal,1,OKA Shinnosuke,Male,Japan
05-08-24,Silver Medal,2,BARAJAS Angel,Male,Colombia
05-08-24,Bronze Medal,3,ZHANG Boheng,Male,China
05-08-24,Bronze Medal,3,TANG Chia-Hung,Male,Chinese Taipei
05-08-24,Gold Medal,1,ZOU Jingyuan,Male,China
05-08-24,Silver Medal,2,KOVTUN Illia,Male,Ukraine
05-08-24,Bronze Medal,3,OKA Shinnosuke,Male,Japan
05-08-24,Gold Medal,1,D'AMATO Alice,Female,Italy
05-08-24,Silver Medal,2,ZHOU Yaqin,Female,China
05-08-24,Bronze Medal,3,ESPOSITO Manila,Female,Italy
05-08-24,Gold Medal,1,ANDRADE Rebeca,Female,Brazil
05-08-24,Silver Medal,2,BILES Simone,Female,United States
05-08-24,Bronze Medal,3,BARBOSU Ana,Female,Romania
05-08-24,Gold Medal,1,DUPLANTIS Armand,Male,Sweden
05-08-24,Silver Medal,2,KENDRICKS Sam,Male,United States
05-08-24,Bronze Medal,3,KARALIS Emmanouil,Male,Greece
05-08-24,Gold Medal,1,CHEBET Beatrice,Female,Kenya
05-08-24,Silver Medal,2,KIPYEGON Faith,Female,Kenya
05-08-24,Bronze Medal,3,HASSAN Sifan,Female,Netherlands
05-08-24,Gold Medal,1,HODGKINSON Keely,Female,Great Britain
05-08-24,Silver Medal,2,DUGUMA Tsige,Female,Ethiopia
05-08-24,Bronze Medal,3,MORAA Mary,Female,Kenya
05-08-24,Gold Medal,1,ALLMAN Valarie,Female,United States
05-08-24,Silver Medal,2,FENG Bin,Female,China
05-08-24,Bronze Medal,3,ELKASEVIC Sandra,Female,Croatia
05-08-24,Gold Medal,1,AXELSEN Viktor,Male,Denmark
05-08-24,Silver Medal,2,VITIDSARN Kunlavut,Male,Thailand
05-08-24,Bronze Medal,3,LEE Zii Jia,Male,Malaysia
05-08-24,Gold Medal,1,AN Se Young,Female,Korea
05-08-24,Silver Medal,2,HE Bing Jiao,Female,China
05-08-24,Gold Medal,1,BUTCHER Finn,Male,New Zealand
05-08-24,Silver Medal,2,CLARKE Joseph,Male,Great Britain
05-08-24,Bronze Medal,3,HEGGE Noah,Male,Germany
05-08-24,Gold Medal,1,FOX Noemie,Female,Australia
05-08-24,Silver Medal,2,HUG Angele,Female,France
05-08-24,Bronze Medal,3,WOODS Kimberley,Female,Great Britain
05-08-24,Gold Medal,1,LI Yuehong,Male,China
05-08-24,Silver Medal,2,CHO Yeongjae,Male,Korea
05-08-24,Bronze Medal,3,WANG Xinjie,Male,China
05-08-24,Gold Medal,1,VAAST Kauli,Male,France
05-08-24,Silver Medal,2,ROBINSON Jack,Male,Australia
05-08-24,Bronze Medal,3,MEDINA Gabriel,Male,Brazil
05-08-24,Gold Medal,1,MARKS Caroline,Female,United States
05-08-24,Silver Medal,2,WESTON-WEBB Tatiana,Female,Brazil
05-08-24,Bronze Medal,3,DEFAY Johanne,Female,France
06-08-24,Gold Medal,1,HOCKER Cole,Male,United States
06-08-24,Silver Medal,2,KERR Josh,Male,Great Britain
06-08-24,Bronze Medal,3,NUGUSE Yared,Male,United States
06-08-24,Gold Medal,1,TENTOGLOU Miltiadis,Male,Greece
06-08-24,Silver Medal,2,PINNOCK Wayne,Male,Jamaica
06-08-24,Bronze Medal,3,FURLANI Mattia,Male,Italy
06-08-24,Gold Medal,1,THOMAS Gabrielle,Female,United States
06-08-24,Silver Medal,2,ALFRED Julien,Female,Saint Lucia
06-08-24,Bronze Medal,3,BROWN Brittany,Female,United States
06-08-24,Gold Medal,1,YAVI Winfred,Female,Bahrain
06-08-24,Silver Medal,2,CHEMUTAI Peruth,Female,Uganda
06-08-24,Bronze Medal,3,CHEROTICH Faith,Female,Kenya
06-08-24,Gold Medal,1,ROGERS Camryn,Female,Canada
06-08-24,Silver Medal,2,ECHIKUNWOKE Annette Nneka,Female,United States
06-08-24,Bronze Medal,3,ZHAO Jie,Female,China
06-08-24,Bronze Medal,3,JONES Omari,Male,United States
